"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"274","Cincinnati",0.677081716439565,2022-07-11,"downtown","Midwest","medium","Cincinnati, OH"
"275","Cleveland",0.468290778635851,2022-07-11,"downtown","Midwest","medium","Cleveland, OH"
"276","Colorado Springs",0.729895321244673,2022-07-11,"downtown","Southwest","medium","Colorado Springs, CO"
"277","Columbus",0.807133779042597,2022-07-11,"downtown","Midwest","large","Columbus, OH"
"278","Dallas",1.69096295347466,2022-07-11,"downtown","Southwest","large","Dallas, TX"
"279","Denver",0.584813986492249,2022-07-11,"downtown","Southwest","large","Denver, CO"
"280","Detroit",0.541323776559546,2022-07-11,"downtown","Midwest","medium","Detroit, MI"
"281","Edmonton",0.413316261976388,2022-07-11,"downtown","Canada","large","Edmonton, AB"
"282","El Paso",0.929294800609533,2022-07-11,"downtown","Southwest","medium","El Paso, TX"
"283","Fort Worth",1.17102059346134,2022-07-11,"downtown","Southwest","large","Fort Worth, TX"
"284","Fresno",1.10226770489773,2022-07-11,"downtown","Pacific","medium","Fresno, CA"
"285","Halifax",0.562249143291937,2022-07-11,"downtown","Canada","medium","Halifax, NS"
"286","Honolulu",0.815984166045921,2022-07-11,"downtown","Pacific","medium","Honolulu, HI"
"287","Houston",0.985678488160368,2022-07-11,"downtown","Southwest","large","Houston, TX"
"288","Indianapolis",0.386922020879058,2022-07-11,"downtown","Midwest","large","Indianapolis, IN"
"289","Jacksonville",0.489657812911963,2022-07-11,"downtown","Southeast","large","Jacksonville, FL"
"290","Kansas City",0.485057810124506,2022-07-11,"downtown","Midwest","medium","Kansas City, MO"
"291","Las Vegas",0.790390057704077,2022-07-11,"downtown","Southwest","medium","Las Vegas, NV"
"292","London",0.454758780701133,2022-07-11,"downtown","Canada","medium","London, ON"
"293","Los Angeles",0.665859583824099,2022-07-11,"downtown","Pacific","large","Los Angeles, CA"
"294","Louisville",0.367819932443997,2022-07-11,"downtown","Midwest","medium","Louisville, KY"
"295","Memphis",0.642707953142882,2022-07-11,"downtown","Southeast","medium","Memphis, TN"
"296","Miami",0.665028369388632,2022-07-11,"downtown","Southeast","medium","Miami, FL"
"297","Milwaukee",0.637523791125531,2022-07-11,"downtown","Midwest","medium","Milwaukee, WI"
"298","Minneapolis",0.246467069540986,2022-07-11,"downtown","Midwest","medium","Minneapolis, MN"
"299","Mississauga",0.764599421012937,2022-07-11,"downtown","Canada","medium","Mississauga, ON"
"300","Montreal",0.387569813086857,2022-07-11,"downtown","Canada","large","Montreal, QC"
"301","Nashville",0.644834988834141,2022-07-11,"downtown","Southeast","large","Nashville, TN"
