"","display_title","seasonal_average","region","metric","city","Season","lq_rank","color"
"266","Boston, MA",0.556363636363636,"Northeast","downtown","Boston","Season_7",35,"#8dbf2e"
"267","Boston, MA",0.5513353965458,"Northeast","downtown","Boston","Season_10",34,"#8dbf2e"
"268","Boston, MA",0.538821631229814,"Northeast","downtown","Boston","Season_11",40,"#8dbf2e"
"269","Boston, MA",0.523475111687101,"Northeast","downtown","Boston","Season_9",39,"#8dbf2e"
"270","Boston, MA",0.428998627568352,"Northeast","downtown","Boston","Season_8",54,"#8dbf2e"
"271","Boston, MA",0.40875,"Northeast","downtown","Boston","Season_5",45,"#8dbf2e"
"272","Boston, MA",0.398888888888889,"Northeast","downtown","Boston","Season_3",47,"#8dbf2e"
"273","Boston, MA",0.337,"Northeast","downtown","Boston","Season_4",53,"#8dbf2e"
"274","Boston, MA",0.316,"Northeast","downtown","Boston","Season_1",58,"#8dbf2e"
"275","Boston, MA",0.279090909090909,"Northeast","downtown","Boston","Season_2",58,"#8dbf2e"
"276","New York, NY",0.778402611922658,"Northeast","downtown","New York","Season_9",14,"#8dbf2e"
"277","New York, NY",0.740296287596794,"Northeast","downtown","New York","Season_11",18,"#8dbf2e"
"278","New York, NY",0.677547454112105,"Northeast","downtown","New York","Season_10",21,"#8dbf2e"
"279","New York, NY",0.54,"Northeast","downtown","New York","Season_7",40,"#8dbf2e"
"280","New York, NY",0.528358917430783,"Northeast","downtown","New York","Season_8",36,"#8dbf2e"
"281","New York, NY",0.46625,"Northeast","downtown","New York","Season_6",43,"#8dbf2e"
"282","New York, NY",0.3325,"Northeast","downtown","New York","Season_3",58,"#8dbf2e"
"283","New York, NY",0.33125,"Northeast","downtown","New York","Season_5",55,"#8dbf2e"
