"","X","week","metric","display_title","rolling_avg","city","region","color"
"183",2166,2020-04-20,"downtown","Salt Lake City, UT",0.432272727272727,"Salt Lake City","Southwest","#e6ab02"
"184",2137,2020-04-20,"downtown","San Antonio, TX",0.225909090909091,"San Antonio","Southwest","#e6ab02"
"185",2130,2020-04-20,"downtown","Tucson, AZ",0.499090909090909,"Tucson","Southwest","#e6ab02"
"186",2141,2020-04-20,"downtown","Tulsa, OK",0.382272727272727,"Tulsa","Southwest","#e6ab02"
"187",2179,2020-04-27,"downtown","Calgary, AB",0.311818181818182,"Calgary","Canada","#ab1368"
"188",2181,2020-04-27,"downtown","Edmonton, AB",0.431363636363636,"Edmonton","Canada","#ab1368"
"189",2186,2020-04-27,"downtown","Halifax, NS",0.336363636363636,"Halifax","Canada","#ab1368"
"190",2187,2020-04-27,"downtown","London, ON",0.302727272727273,"London","Canada","#ab1368"
"191",2236,2020-04-27,"downtown","Montreal, QC",0.233181818181818,"Montreal","Canada","#ab1368"
"192",2180,2020-04-27,"downtown","Ottawa, ON",0.31,"Ottawa","Canada","#ab1368"
"193",2185,2020-04-27,"downtown","Quebec, QC",0.274090909090909,"Quebec","Canada","#ab1368"
"194",2235,2020-04-27,"downtown","Toronto, ON",0.28,"Toronto","Canada","#ab1368"
"195",2184,2020-04-27,"downtown","Vancouver, BC",0.304545454545455,"Vancouver","Canada","#ab1368"
"196",2183,2020-04-27,"downtown","Winnipeg, MB",0.476818181818182,"Winnipeg","Canada","#ab1368"
"197",2199,2020-04-27,"downtown","Chicago, IL",0.164545454545455,"Chicago","Midwest","#007fa3"
"198",2230,2020-04-27,"downtown","Cincinnati, OH",0.284545454545455,"Cincinnati","Midwest","#007fa3"
"199",2212,2020-04-27,"downtown","Cleveland, OH",0.407272727272727,"Cleveland","Midwest","#007fa3"
"200",2218,2020-04-27,"downtown","Columbus, OH",0.321363636363636,"Columbus","Midwest","#007fa3"
"201",2190,2020-04-27,"downtown","Detroit, MI",0.174090909090909,"Detroit","Midwest","#007fa3"
"202",2219,2020-04-27,"downtown","Indianapolis, IN",0.292727272727273,"Indianapolis","Midwest","#007fa3"
"203",2239,2020-04-27,"downtown","Kansas City, MO",0.82,"Kansas City","Midwest","#007fa3"
"204",2192,2020-04-27,"downtown","Louisville, KY",0.521363636363636,"Louisville","Midwest","#007fa3"
"205",2194,2020-04-27,"downtown","Milwaukee, WI",0.467272727272727,"Milwaukee","Midwest","#007fa3"
"206",2206,2020-04-27,"downtown","Minneapolis, MN",0.271363636363636,"Minneapolis","Midwest","#007fa3"
"207",2241,2020-04-27,"downtown","Omaha, NE",0.469090909090909,"Omaha","Midwest","#007fa3"
"208",2233,2020-04-27,"downtown","St. Louis, MO",0.287272727272727,"St Louis","Midwest","#007fa3"
"209",2209,2020-04-27,"downtown","Wichita, KS",0.488181818181818,"Wichita","Midwest","#007fa3"
"210",2193,2020-04-27,"downtown","Baltimore, MD",0.506818181818182,"Baltimore","Northeast","#8dbf2e"
"211",2228,2020-04-27,"downtown","Boston, MA",0.160909090909091,"Boston","Northeast","#8dbf2e"
"212",2197,2020-04-27,"downtown","New York, NY",0.179090909090909,"New York","Northeast","#8dbf2e"
"213",2202,2020-04-27,"downtown","Philadelphia, PA",0.289090909090909,"Philadelphia","Northeast","#8dbf2e"
"214",2231,2020-04-27,"downtown","Pittsburgh, PA",0.327272727272727,"Pittsburgh","Northeast","#8dbf2e"
"215",2224,2020-04-27,"downtown","Washington DC",0.596363636363636,"Washington DC","Northeast","#8dbf2e"
"216",2208,2020-04-27,"downtown","Bakersfield, CA",0.830909090909091,"Bakersfield","Pacific","#6d247a"
"217",2237,2020-04-27,"downtown","Fresno, CA",0.750909090909091,"Fresno","Pacific","#6d247a"
"218",2229,2020-04-27,"downtown","Honolulu, HI",0.833181818181818,"Honolulu","Pacific","#6d247a"
"219",2198,2020-04-27,"downtown","Los Angeles, CA",0.450454545454545,"Los Angeles","Pacific","#6d247a"
"220",2205,2020-04-27,"downtown","Oakland, CA",0.519545454545455,"Oakland","Pacific","#6d247a"
"221",2188,2020-04-27,"downtown","Portland, OR",0.517272727272727,"Portland","Pacific","#6d247a"
"222",2238,2020-04-27,"downtown","Sacramento, CA",0.399090909090909,"Sacramento","Pacific","#6d247a"
"223",2204,2020-04-27,"downtown","San Diego, CA",0.312272727272727,"San Diego","Pacific","#6d247a"
"224",2221,2020-04-27,"downtown","San Francisco, CA",0.185909090909091,"San Francisco","Pacific","#6d247a"
"225",2214,2020-04-27,"downtown","San Jose, CA",0.341818181818182,"San Jose","Pacific","#6d247a"
"226",2222,2020-04-27,"downtown","Seattle, WA",0.398181818181818,"Seattle","Pacific","#6d247a"
"227",2240,2020-04-27,"downtown","Atlanta, GA",0.259090909090909,"Atlanta","Southeast","#dc4633"
