,city,week,metric,normalized_visits_by_total_visits
477,Atlanta,2020-11-23,downtown,0.26
478,Atlanta,2020-11-23,relative,0.24
479,Atlanta,2020-11-23,metro,1.08
480,Atlanta,2020-11-30,downtown,0.42
481,Atlanta,2020-11-30,relative,0.4
482,Atlanta,2020-11-30,metro,1.05
483,Atlanta,2020-12-07,downtown,0.29
484,Atlanta,2020-12-07,relative,0.28
485,Atlanta,2020-12-07,metro,1.03
486,Atlanta,2020-12-14,downtown,0.35
487,Atlanta,2020-12-14,relative,0.35
488,Atlanta,2020-12-14,metro,1.0
489,Atlanta,2020-12-21,relative,0.27
490,Atlanta,2020-12-21,downtown,0.28
491,Atlanta,2020-12-21,metro,1.03
492,Atlanta,2020-12-28,relative,0.34
493,Atlanta,2020-12-28,downtown,0.39
494,Atlanta,2020-12-28,metro,1.16
495,Atlanta,2021-01-04,relative,0.45
496,Atlanta,2021-01-04,downtown,0.35
497,Atlanta,2021-01-04,metro,0.78
498,Atlanta,2021-01-11,relative,0.41
499,Atlanta,2021-01-11,downtown,0.37
500,Atlanta,2021-01-11,metro,0.91
501,Atlanta,2021-01-18,relative,0.27
502,Atlanta,2021-01-18,downtown,0.22
503,Atlanta,2021-01-18,metro,0.83
504,Atlanta,2021-01-25,relative,0.41
505,Atlanta,2021-01-25,downtown,0.3
506,Atlanta,2021-01-25,metro,0.72
507,Atlanta,2021-02-01,relative,0.4
508,Atlanta,2021-02-01,downtown,0.25
509,Atlanta,2021-02-01,metro,0.61
510,Atlanta,2021-02-08,relative,0.62
511,Atlanta,2021-02-08,downtown,0.57
512,Atlanta,2021-02-08,metro,0.92
513,Atlanta,2021-02-15,relative,0.33
514,Atlanta,2021-02-15,downtown,0.28
515,Atlanta,2021-02-15,metro,0.83
516,Atlanta,2021-02-22,relative,0.4
517,Atlanta,2021-02-22,downtown,0.21
518,Atlanta,2021-02-22,metro,0.53
519,Atlanta,2021-03-01,relative,0.6
520,Atlanta,2021-03-01,downtown,0.32
521,Atlanta,2021-03-01,metro,0.53
522,Atlanta,2021-03-08,relative,0.39
523,Atlanta,2021-03-08,downtown,0.29
524,Atlanta,2021-03-08,metro,0.75
525,Atlanta,2021-03-15,relative,0.37
526,Atlanta,2021-03-15,downtown,0.26
527,Atlanta,2021-03-15,metro,0.71
528,Atlanta,2021-03-22,relative,0.44
529,Atlanta,2021-03-22,downtown,0.33
530,Atlanta,2021-03-22,metro,0.74
531,Atlanta,2021-03-29,relative,0.79
532,Atlanta,2021-03-29,downtown,0.6
533,Atlanta,2021-03-29,metro,0.76
534,Atlanta,2021-04-05,relative,0.4
535,Atlanta,2021-04-05,downtown,0.28
536,Atlanta,2021-04-05,metro,0.7
537,Atlanta,2021-04-12,relative,0.44
538,Atlanta,2021-04-12,downtown,0.33
539,Atlanta,2021-04-12,metro,0.76
540,Atlanta,2021-04-19,relative,0.56
541,Atlanta,2021-04-19,downtown,0.41
542,Atlanta,2021-04-19,metro,0.74
543,Atlanta,2021-04-26,relative,0.45
544,Atlanta,2021-04-26,downtown,0.3
545,Atlanta,2021-04-26,metro,0.66
546,Atlanta,2021-05-03,relative,0.42
547,Atlanta,2021-05-03,downtown,0.35
548,Atlanta,2021-05-03,metro,0.83
549,Atlanta,2021-05-10,relative,0.41
550,Atlanta,2021-05-10,downtown,0.36
551,Atlanta,2021-05-10,metro,0.87
552,Atlanta,2021-05-17,relative,0.46
553,Atlanta,2021-05-17,downtown,0.33
554,Atlanta,2021-05-17,metro,0.72
555,Atlanta,2021-05-24,relative,0.44
556,Atlanta,2021-05-24,downtown,0.37
557,Atlanta,2021-05-24,metro,0.84
558,Atlanta,2021-05-31,relative,0.47
559,Atlanta,2021-05-31,downtown,0.4
560,Atlanta,2021-05-31,metro,0.86
561,Atlanta,2021-06-07,relative,0.48
562,Atlanta,2021-06-07,downtown,0.45
563,Atlanta,2021-06-07,metro,0.95
564,Atlanta,2021-06-14,relative,0.53
565,Atlanta,2021-06-14,downtown,0.43
566,Atlanta,2021-06-14,metro,0.82
567,Atlanta,2021-06-21,relative,0.52
568,Atlanta,2021-06-21,downtown,0.39
569,Atlanta,2021-06-21,metro,0.76
570,Atlanta,2021-06-28,relative,0.58
571,Atlanta,2021-06-28,downtown,0.46
572,Atlanta,2021-06-28,metro,0.79
573,Atlanta,2021-07-05,relative,0.49
574,Atlanta,2021-07-05,downtown,0.42
575,Atlanta,2021-07-05,metro,0.85
576,Atlanta,2021-07-12,relative,0.49
577,Atlanta,2021-07-12,downtown,0.42
578,Atlanta,2021-07-12,metro,0.86
579,Atlanta,2021-07-19,relative,0.53
580,Atlanta,2021-07-19,downtown,0.41
581,Atlanta,2021-07-19,metro,0.77
582,Atlanta,2021-07-26,relative,0.48
583,Atlanta,2021-07-26,downtown,0.39
584,Atlanta,2021-07-26,metro,0.81
585,Atlanta,2021-08-02,relative,0.53
586,Atlanta,2021-08-02,downtown,0.4
587,Atlanta,2021-08-02,metro,0.76
588,Atlanta,2021-08-09,relative,0.51
589,Atlanta,2021-08-09,downtown,0.38
590,Atlanta,2021-08-09,metro,0.74
591,Atlanta,2021-08-16,relative,0.79
592,Atlanta,2021-08-16,downtown,0.48
593,Atlanta,2021-08-16,metro,0.6
